name,language,region,instructions,history,cook_time,origin_century,spicy_level,sugar_level,calories,likes,img_url,comment,cookbook_name
Kung Pao Chicken,English,Sichuan,"1. Make the stir fry sauce:
-- ½ tablespoon dark soy sauce
-- 1 tablespoon light soy sauce
-- a small pinch of salt (around 1/3 tsp.)
-- 1 inch ginger grated
-- 1 tablespoon chopped green onion
-- 2 garlic cloves, finely chopped
-- 2 tsp.cornstarch
-- 1 tablespoon vinegar
-- 2 tablespoons water
-- 2 teaspoon sugar

2.Cut the meat into long strips and further into one bite cubes.

3.Transfer the chicken to a large bowl and marinating with salt, soy sauce, cooking wine and cornstarch. This helps to add a basic taste and create a protecting shell for the chicken so we can produce the tenderest chicken.

4. Cut the leek onion into 1cm sections, slice ginger and garlic.

5.Heat up oil in wok until hot, pour in cold oil and then heat until warm. Place the chicken cubes in and let them stay for 3-5 seconds until the starch begins gelatinization. Gently fry until all of the chicken cubes begin to change color.

6.Add in the mixed sauce

7.Fry until the sauce is well coated. Mix with the remaining leek onion white sections and fried peanuts. Transfer out immediately and serve with rice!","The name of Kung Pao comes from a court official Ding Baozhen in Qing dynasty. The hero official Ding is a foodie who especially loves stir-fried diced chicken. During the time of being served as governor in Sichuan province, he frequently treats his guest with this dish and add dried chili peppers because People in Sichuan loves to eat hot chili. Later on, he is granted the title Taizi Shaobao also known as Kung Pao, which means the protector of the crown price. People name this dish after him to memory him.In China, chefs usually use chicken thighs to make this dish rather than boneless chicken breasts. The meat of thighs is tenderer but requires more about the cutting skills.",30 mins,1820-1886,mild,10,381,500,https://i.pinimg.com/564x/a3/a2/9d/a3a29d137155e0e23ff3301c48c5dc99.jpg,,My Cookbook
Mapo Toufu,English,Sichuan,"1. Add a small pinch of salt and sesame oil to minced beef. Mix well and set aside.

2. Mix 1 tablespoon of cornstarch with 2 and 1/2 tablespoons of water in a small bowl to make water starch.

3. Cut tofu into square cubes (around 2cms). Bring a large amount of water to a boil and then add a pinch of salt. Slide the tofu in and cook for 1 minute. Move out and drain.

4. Get a wok and heat up around 2 tablespoons of oil, fry the minced meat until crispy. Transfer out beef out and leave the oil in.

5. Fry doubanjiang for 1 minute over slow fire and then add garlic, scallion white, ginger and fermented black beans to cook for 30 seconds until aroma. Then mix pepper flakes in.

6. Add water to the seasonings and bring to boil over high fire. Gently slide the tofu cubes. Add light soy sauce and beef.Slow the heat after boiling and then simmer for 6-8 minutes. Then add chopped garlic greens.

7. Stir the water starch and then pour half of the mixture to the simmering pot. Wait for around 30 seconds and then pour the other half. You can slightly taste the tofu and add pinch of salt if not salty enough. By the way, if you feel it is too spicy, add some sugar can milder the taste. But be carefully as the broth is very hot at this point.

8. Transfer out when almost all the seasonings stick to tofu cubes. Sprinkle Szechuan peppercorn powder (to taste)and chopped garlic greens if using.

9. Serve with rice!","The origin of mapo tofu can be traced to 1862 during the Qing Dynasty (1644-1911) and to a couple surnamed Chen, who ran Chen Xingsheng Restaurant, a small eatery near Wanfu Bridge in north Chengdu. Unpleasantly, the mapo comes from the pock-marked face of Mrs Chen - ma meaning pock, po meaning elderly woman. Oil porters crossing the bridge would use their stock to save money and ask the Chen restaurant to make them something nice.
Chen Mapo, as she came to be known, had her own unique way of cooking tofu, famous for its pleasant look, smell and taste. Chengdu Records, published in 1909, shows the restaurant's name was eventually changed to Chen Mapo Tofu Restaurant and listed as one of the 23 most famous restaurants in Chengdu in the late Qing Dynasty. Its flavor, price and suitability with rice meant mapo tofu became a Chinese food staple, spreading nationwide.",30 mins,1644-1911,mild,20,377,400,https://i.pinimg.com/564x/a7/78/0d/a7780dba7cffd718b1594deb389e8ed9.jpg,,My Cookbook
Yuxiang Shredded Pork,English,Sichuan,"Mix sauce for stir fry:
-- 1½ tablespoons rice vinegar
-- 1½ tablespoons sugar
-- 1 tablespoon light soy sauce
-- ½ tablespoon Shaoxing wine
-- 1 cup water
-- 1½ tablespoons cornstarch

Marinade pork
-- 8 ounces pork, julienned
-- 2 teaspoons oil
-- 1 teaspoon Shaoxing wine
-- 2 teaspoon light soy sauce
-- ¼ teaspoon ground white pepper
-- 1 teaspoon cornstarch
-- 1½ tablespoons water

1. Combine the pork with the marinade ingredients, and set aside for 20 minutes while you prepare the ingredients for the rest of the dish--namely, the celtuce, wood ears, ginger, garlic, etc.

2. Prepare the sauce--mix all of the sauce ingredients together and set aside.

3. preheat a clean wok until it starts to smoke lightly (to prevent sticking). Now turn up the heat to high, and add one tablespoon of oil to the wok. Cook the marinated pork just until it turns opaque. Turn off the heat, transfer the pork to a dish, and set aside.

4. Turn the heat on to medium. Add two tablespoons of oil and the spicy bean sauce. Stir lightly, and cook for about a minute until the oil turns red, adjusting the heat to avoid burning if needed.

5. Add the ginger, garlic, and dried chili peppers. Stir for about 15 seconds.

6. Add the fungus, turn up the heat, and stir fry for 30 seconds (you can add a few drops of water if it’s too dry), making sure everything is well-combined.

7. Once the liquid in the wok starts to bubble, give your sauce mixture a good stir, and add it along with the celtuce and cooked pork.

8. Stir fry quickly and combine everything. Serve it with rice!","Yuxiang shredded pork appeared in recent decades. The creator is a chef from Sichuan who lived during the early Chinese republic. Yuxiang (sometimes translated as ""fish flavor"") is made of paolajiao, Chuan salt, soy, white sugar, bruised ginger, garlic and green star but no fish. This seasoning has nothing to do with fish, instead imitating the seasoning and method, which people in Sichuan use when cooking fish. The seasoning contains salty, sweet, sour, hot, and fresh tastes, making the food more delicious.

It is said that, many years ago, a family liked eating fish very much and they were particular with the seasoning. They always put some green onion, ginger, garlic, soy, vinegar, wine and so on when they cook fish. One day, the wife put the remaining seasoning from last night into the food because she did not want to waste the seasoning. She at first thought her husband would not like it, but unexpectedly, he liked it very much.

Later, this food was improved by many Sichuan people. Other dishes using yuxiang have also appeared in Sichuan menus, for example, as yuxiang pork liver, yuxiang eggplant, and yuxiang three silk (魚香三絲).",30 mins,recent decades,mild,20,325,677,https://i.pinimg.com/564x/bd/46/b4/bd46b459dc5b466ec9fccb0be4626861.jpg,,My Cookbook
Suan Cai Yu,English,Sichuan,"1. Wash the fish carefully and separate the bones and fish fillet. Then slice the fillet into really thin slices and cut the bones into large sections.

2. In a large bowl with clean water, soak and wash the fish slices until they become almost transparent. Transfer out and drain.

3. Marinade the fish bones and fish fillet slices with salt, cornstarch and white pepper powder. Set aside.

4. Heat up around 1 tablespoon cooking oil in a large wok, fry garlic, ginger, green onions and whole Sichuan peppercorn for around 1 to 2 minutes or until aroma. Add 

pickled mustard green for another minute. Pour around 2L of fresh cold water, simmer the soup for around 20 minutes. Taste the soup and add salt accordingly.

5. Pick the bones out and cook the in the soup prepared I previous step for around 5 minutes. Transfer all the content expects the soup to your serving bowl.

6. Turn up the fire and add fish slices to cook for around 1 minute. Transfer all the content out to serving bowl too.

7. Prepare another pan, heat up 2 tablespoons of oil with dried chili peppers until really hot. Pour the oil to the serving bowl evenly on the surface.

8. Garnish some chopped green onion and serve hot!","Suan Cai Yu is a lesser known (but definitely not less delicious!) Sichuan dish that features a hot and sour broth with super tender fish slices.

Suan Cai Yu (酸菜鱼) can be translated as “hot and sour fish with pickled mustard greens”. The fish is thinly sliced and poached in a rich broth made from chicken stock, fish stock, and Sichuan pickles. The fish has a velvety and silky texture, with a piquant and zesty taste. It is a great dinner dish that you will find really comforting and satisfying on a chilly day.",40 mins,N/A,hot,10,307,455,https://i.pinimg.com/564x/57/36/bb/5736bb012217797f52d45c66bf5e64f6.jpg,,My Cookbook
Dry Fried Green Beans,English,Sichuan,"1. Cap the fresh green beans; Wash and drain.

2. Heat your wok over high heat until just starting to smoke, and add the green beans and salt. Immediately lower the heat to medium low, and sear the green beans for about 20 minutes, stirring occasionally. You want to see small scorch marks on the green beans. Once the beans are somewhat tender, take them out of the wok and set aside.

3. During this process, gather the rest of the ingredients and have them ready. This is always very important to Chinese cooking–the actually time on the stove is usually very short, so having everything prepared and ready to go is essential!

4. Heat the oil in your wok over medium high heat and brown the pork. It should only take a couple minutes.

5. Add the garlic and chili, and stir for 30 seconds.

6. Add the sui mi ya cai, and stir everything together. Cook for another minute.

7. Toss in the seared green beans, cooking wine, soy sauce, sugar, and sesame oil. Crank the heat back up to high and stir-fry for a final minute.

8. Serve hot! Enjoy!","Sichuan Dry Fried Green Beans are a very popular dish both in China and US, as Sichuan cuisine becomes more prevalent. This dish is also known as Szechuan dry-fried green beans of Chinese stir-fried green beans but if the restaurant is any good, they are prepared using the same method and quite tasty.

Deep-frying makes a healthy ingredient very unhealthy. However, when you think about the name of the dish in Chinese, 干煸四季豆(ganbian sijidou), it literally means “dry seared.” So rather than deep-frying the green beans (a method used in restaurants because it’s a faster process), I did just that—seared them in a dry wok without oil. The outcome was brilliant.",30 mins,N/A,mild,0,334,684,https://i.pinimg.com/564x/9a/37/e6/9a37e680c137cbe1c3727cc32f768494.jpg,,My Cookbook
Spicy Chicken,English,Sichuan,"Marinating
-- 1 tbsp. soy sauce
-- 1 tbsp. rice wine
-- ¼ tsp. white pepper powder
-- 2 tsp. cornstarch ,optional
-- small pinch of salt

1.Cut the dried chili peppers, discard the seeds and then soak the peppers in water for 15 minutes. We are doing this so we can fry the peppers later and prevent burn the peppers.

2.Remove the bone of the chicken thighs and then cut into small cubes. In a large bowl, marinade the chicken cubes with all the marinating sauce. Mix well and set aside for around 10 minutes.

3. Heat up oil in wok or pan for deep-frying. Heat until really hot (you can see bubbles when you put a chopstick in). Add the chicken cubes in and fry until golden brown. Transfer out. I recommend using a pan and fry the chicken by batches. On one side, it uses less oil and on the other side, the chicken is widely touched with the bottom of the pan, which can speed up the process greatly. After add the chicken cubes, let it stay for a short time (possible about 40 seconds to 1 minute) until one side is browed and then slightly stir the chicken and fry the other side.

4.Get a clean wok and add only 1/2 tablespoon of oil and then fry the peppers for 1-2 minutes over slowest fire until most of them becomes dark red. Add Sichuan peppercorn in and continue frying for another 1 minute over slowest fire.

5.Push the spices to one side and add 1/2 tablespoon of oil in wok and fry ginger, scallion white and garlic until aromatic.

6.Return the chicken cubes, add roasted white sesame seeds, sugar, salt and scallion green sections. Mix well and serve immediately.","In Chinese, we call the dish La-zi-ji, which mainly mean dried chili pepper chicken. Some restaurants may call it Chongqing Chicken since it is thought to be quite popular in Geleshan (歌乐山) area in the city of Chongqing.

you might not have dared touch it for fear of burning a hole through your mouth. All those chili peppers can be intimidating, but I promise it is not as spicy as it looks, and you will love it to death!

Laziji originated near Geleshan in Chongqing, where restaurateurs used small free-range chickens from nearby farms. This poultry became a signature export for Geleshan.",40 mins,N/A,hot,10,220,745,https://i.pinimg.com/564x/86/01/c1/8601c12c00f1c1791467dc9fe1032675.jpg,,My Cookbook
Yangzhou Fried Rice,English,Jiangsu,"1. Slightly separate the grains of rice via slightly pressing the rice by a rice scoop. This step is optional but highly recommended for beginners.

2. Heat up around 1 tablespoon of cooking oil in wok and fry green beans and diced carrots until softened.

3. Heat up 1 tablespoon of cooking oil in a wok or a nonstick skillet (Note 2) and fry shrimp until slightly seared. Transfer out.

4. Play rice in wok and dig a small hole in center, add the remaining 1 tablespoon of cooking oil and pour in beaten egg . Give a quick stir so the egg and rice can be mixed well quickly.

5. Add green beans, carrots, ham and shrimp, light soy sauce, sprinkle pinch of salt and white pepper. Give everything a big stir-fry and mix well. Then add green onion and fry for another 30 seconds.","Fired rice (炒饭) and chow mein (炒面) possibly are the two most popular types of dishes based on staple foods of China—rice and noodles. Home-style fried rice can be as humble as basic egg fried rice or as luxury as this Yangzhou fried rice, a star throughout the country. The best tool for perfect fried rice is a wok, in which you can quickly move all the grains. Along with the movement, the grains are well separated while all the other ingredients and seasonings are well mixed. Honestly, Chinese people have a clinging attitude about their food, especially the food from the hometowns. Basically rice is almost all-purpose for vegetables and meats. So you can add whatever in your kitchen to a bowl of leftover rice and make yourself a happy breakfast. But people in Jiangshu province insist that a real Yangzhou fried rice should at least includes egg, carrot, green peas, Chinese ham, shrimp and green onion. Those ingredients not only bring different tastes and textures, but more importantly different colors. The colorful fried rice is the most popular choice for children meal for lots of restaurants.",10 mins,N/A,mild,10,473,6743,https://whattocooktoday.com/wp-content/uploads/2012/07/IMG_7020.jpg,,My Cookbook
Nanjing Salted Duck,English,Jiangsu,"1. Rinse the duck thoroughly under cold water, discarding any of the giblets that came with it. Soak it in cold water for an hour to get rid of any impurities.

2. In the meantime, add the salt and Sichuan peppercorns to a flat-bottomed pan over medium heat. Dry roast them by stirring constantly for 5-8 minutes until the salt turns slightly yellow. Turn off the heat and let cool. Be sure not to burn the Sichuan peppercorns.

3. Drain the duck from the water and thoroughly pat it dry with paper towels, inside and out. Rub the salt and Sichuan peppercorns all over the duck, inside and out. Use all of the mixture, making sure that you use at least ⅓ for the cavity. Let the duck marinate, uncovered, for three hours in the refrigerator.

4.While the duck is marinating, you can prepare your spice pouch. Place the star anise, cumin seeds, bay leaves, cinnamon, and peppercorns on a square of cheesecloth and tie tightly with kitchen twine. Set aside.

5. Next, prepare a pot that is big enough to cook the duck whole. Fill it with 12-15 cups of water, enough to submerge the whole duck. Add the spice pouch along with the ginger and scallion. Bring the pot of water to a boil, and add the Shaoxing wine. Simmer over low heat.

6. Once the duck is finished marinating, carefully lower it (along with all the salt and Sichuan peppercorns used to marinate it) in the prepared pot. Bring to a boil. Once boiling, carefully lift the duck out of the water in order to drain the water that has accumulated in the cavity; then lower it back into the pot, and bring the water to a boil again. This ensures there is no cold water trapped inside the cavity of the duck.

7. Immediately turn the heat down to a simmer, cover, and let cook for 15 minutes. During these 15 minutes, the water should be hot and simmering slightly, but it shouldn't be at a full boil. After 15 minutes, turn off the heat and let the pot sit, covered, for 40–45 minutes. Once the 40-45 minutes has passed, transfer the duck to a cutting board. Lightly brush the outside of the duck with sesame oil and let it cool completely before cutting and serving.","Nanjing Salted Duck (Chinese: 盐水鸭) is a local duck dish from Nanjing, China.The history of the dish goes back hundreds of years, possibly to the 14th century, but it grew more famous during the Qing Dynasty. The tender white duckmeat has some fat but is not greasy, and in presentation the dish is fragrant and often crispy. Nanjing Salted Duck prepared shortly before or after mid-Autumn is reputed to taste the best, because of duck production during the sweet osmanthus blooming season (osmanthus may be added to the spice mixture particularly in those months). Sometimes the seasonal version of the dish is called Osmanthus Duck.",40 mins,1500,mild,0,600,130,http://i2.chuimg.com/469697628a7a11e6b87c0242ac110003_1616w_1080h.jpg?imageView2/2/w/660/interlace/1/q/90,,My Cookbook
Squirrel Mandarin Fish,English,Jiangsu,"1. prepare ingredients, clean and cut fish.


2. marinate in salt and cooking wine for 5 minutes.


3. absorb the water. cut the fish into the diamond shape. do not cut off.


4. coat with starch evenly and shake off the excess starch.


5. heat oil and fry the fish.


6. pour some hot oil on fish, make sure fry the fish evenly to slight golden colour. transfer out and drain the oil. if you like golden colour, you could fry it again.


7. fry the fish head.


8. put the fish on a plate.


9. heat oil, put minced garlic and stir-fry, add ketchup and sugar.


10. add broth, soy sauce, cooking wine and vinegar. mix starch with water and add into the sauce after boiling.


11. pour onto the fish. decorate with some pine nuts and shredded spring onion. ","The dish’s history can be traced back to the Qing Dynasty, during the rule of Emperor Qianlong. According to popular retelling, the emperor once came upon an energetic carp on his extensive tour around Jiangsu and ordered it to be cooked at once. Instead of serving it flat on a plate, the chef used a little ingenuity – and a lot of hot oil – to give the fish its animated, squirrel-like shape in order to reflect the liveliness that so bemused the emperor. Others, however, say its name draws from more literal origins, namely, the squirrel-like squeaks that the fish meat emits when bathed in hot oil. (Some suggest it got the name simply because the dish is usually served with fresh pine nuts)",30 mins,1711-1799,mild,60,540,344,https://cdn-images-1.medium.com/max/2400/1*LzuRE_JanC0nSRL_faMXzA.jpeg,,My Cookbook
Lion's Head,English,Jiangsu,"1. Add ground pork into a large bowl. Add 4 tablespoons water. Mix well with a spatula until water is fully incorporated.

2. Add Shaoxing wine, light soy sauce, dark soy sauce, salt, sugar, grated ginger, cornstarch, and scallion. Mix well.

3. Add chestnuts and eggs. Mix a few times.

4. Add panko. Mix well. Add sesame oil, mix until it forms a soft paste.

5. Heat peanut oil in a nonstick skillet over medium heat until warm.

6.Use bare hands to scoop about 1/3 cup of the paste and shape it into a meatbal. The meatball should be a bit runny, barely able to hold its shape (so the finished meatballs will be tender and juicy). If the meatballs cannot hold their shape, add a bit more panko and mix again. If the meatballs are still a bit tough, blend in more water and mix well, 1 tablespoon at a time, until the paste turns soft.

7. Carefully place 3 to 4 meatballs in the skillet and make sure to leave enough space to flip them. When the bottom side is just set, carefully roll the ball with a spatula to cook the other sides. Continue to do this until all sides are set and browned. Transfer to a plate. Continue to brown the rest of the meatballs.

8. Add water to a steamer and place the plate of meatballs on the steaming rack.

9. Heat the steamer over medium high heat, covered, until the water begins to boil. Turn to medium heat. Cook covered until the meatballs are cooked through, in 40 minutes.

10. Cook the second batch by using the same method. After cooking the first batch, check the water level and add more if it runs too low.

11. Serve warm over steamed rice as a main.","Lion's Head (simplified Chinese: 狮子头; traditional Chinese: 獅子頭; pinyin: Shīzitóu) or stewed meatball is a dish from the Huaiyang cuisine of eastern China, consisting of large pork meatballsstewed with vegetables. There are two varieties: white (or plain), and red (红烧, cooked with soy sauce). The plain variety is usually stewed or steamed with napa cabbage. The red variety can be stewed with cabbage or cooked with bamboo shoots and tofu derivatives. The minced meat rich in fat is more likely to bring better texture, addition of chopped water chestnut also works.
The name ""lion's head"", derives from the shape of the meatball which is supposed to resemble the head of the Chinese guardian lion, specifically.
The dish originated in Yangzhou and Zhenjiang, to a lesser degree, Huai'an. While the plain variety more common in Yangzhou and the red variety more common in Zhenjiang. The dish became a part of Shanghai cuisine with the influx of migrants in the 19th and early 20th century.",1 hr 30 mins,1800-1900,mild,40,800,500,https://omnivorescookbook.com/wp-content/uploads/2015/07/1506_Chinese-Lions-Head-Pork-Meatballs_001.jpg,,My Cookbook
